TF	in_robocop	n_cx	genic_cx	intergenic_cx	genic_pct_cx	genic_vs_null_cx	n_motif	genic_motif	intergenic_motif	genic_pct_motif	genic_vs_null_motif	null_genic_pct
Ecm5	False	17	1	16	5.88	0.081	11.0	1.0	10.0	9.09	0.125	72.976
Elf1	False	1031	763	268	74.01	1.014	94.0	82.0	12.0	87.23	1.195	72.976
Esa1	False	306	97	209	31.7	0.434	100.0	12.0	88.0	12.0	0.164	72.976
Esc2	False	168	125	43	74.4	1.02	16.0	13.0	3.0	81.25	1.113	72.976
Ess1	False	60	59	1	98.33	1.347	39.0	38.0	1.0	97.44	1.335	72.976
Fhl1	True	556	296	260	53.24	0.73	84.0	15.0	69.0	17.86	0.245	72.976
Fkh1	True	625	144	481	23.04	0.316	297.0	35.0	262.0	11.78	0.161	72.976
Fkh2	True	193	65	128	33.68	0.462	77.0	8.0	69.0	10.39	0.142	72.976
Fun30	False	182	90	92	49.45	0.678	35.0	14.0	21.0	40.0	0.548	72.976
Fzf1	True	93	40	53	43.01	0.589	22.0	5.0	17.0	22.73	0.311	72.976
Gal11	False	109	20	89	18.35	0.251	45.0	8.0	37.0	17.78	0.244	72.976
Gal4	True	15	3	12	20.0	0.274	6.0	1.0	5.0	16.67	0.228	72.976
Gcn4	True	49	5	44	10.2	0.14	35.0	1.0	34.0	2.86	0.039	72.976
Gcn5	False	155	38	117	24.52	0.336	64.0	13.0	51.0	20.31	0.278	72.976
Gcr1	True	168	95	73	56.55	0.775	44.0	17.0	27.0	38.64	0.529	72.976
Gis1	True	160	53	107	33.12	0.454	46.0	16.0	30.0	34.78	0.477	72.976
Gln3	True	119	58	61	48.74	0.668	28.0	12.0	16.0	42.86	0.587	72.976
God1	False	203	69	134	33.99	0.466	31.0	7.0	24.0	22.58	0.309	72.976
Gzf3	True	370	150	220	40.54	0.556	63.0	22.0	41.0	34.92	0.479	72.976
Hal9	True	48	26	22	54.17	0.742	22.0	6.0	16.0	27.27	0.374	72.976
Hap1	True	119	21	98	17.65	0.242	58.0	7.0	51.0	12.07	0.165	72.976
Hap2	False	36	14	22	38.89	0.533	19.0	4.0	15.0	21.05	0.288	72.976
Hap3	False	246	117	129	47.56	0.652	102.0	23.0	79.0	22.55	0.309	72.976
Hap5	False	99	53	46	53.54	0.734	26.0	5.0	21.0	19.23	0.264	72.976
Hem2	False	45	34	11	75.56	1.035	9.0	8.0	1.0	88.89	1.218	72.976
Hhf1	False	31	28	3	90.32	1.238	5.0	4.0	1.0	80.0	1.096	72.976
Hhf2	False	30	26	4	86.67	1.188	2.0	1.0	1.0	50.0	0.685	72.976
Hho1	False	8	8	0	100.0	1.37	NA	NA	NA	NA	NA	72.976
Hht1	False	25	23	2	92.0	1.261	3.0	3.0	0.0	100.0	1.37	72.976
Hht2	False	19	16	3	84.21	1.154	3.0	2.0	1.0	66.67	0.914	72.976
Hir1	False	34	14	20	41.18	0.564	8.0	2.0	6.0	25.0	0.343	72.976
Hir2	False	8	2	6	25.0	0.343	5.0	0.0	5.0	0.0	0.0	72.976
Hir3	False	11	6	5	54.55	0.747	3.0	0.0	3.0	0.0	0.0	72.976
Hmo1	False	178	66	112	37.08	0.508	64.0	6.0	58.0	9.38	0.128	72.976
Hms2	False	270	50	220	18.52	0.254	100.0	16.0	84.0	16.0	0.219	72.976
Hos2	False	517	470	47	90.91	1.246	51.0	48.0	3.0	94.12	1.29	72.976
Hos4	False	8	8	0	100.0	1.37	1.0	1.0	0.0	100.0	1.37	72.976
Hot1	False	46	9	37	19.57	0.268	20.0	4.0	16.0	20.0	0.274	72.976
Hpc2	False	120	92	28	76.67	1.051	21.0	17.0	4.0	80.95	1.109	72.976
Hpr1	False	241	211	30	87.55	1.2	30.0	28.0	2.0	93.33	1.279	72.976
Hsf1	True	204	92	112	45.1	0.618	108.0	24.0	84.0	22.22	0.305	72.976
Hst1	False	492	327	165	66.46	0.911	42.0	23.0	19.0	54.76	0.75	72.976
Hst3	False	73	12	61	16.44	0.225	28.0	1.0	27.0	3.57	0.049	72.976
Hta2	False	29	27	2	93.1	1.276	NA	NA	NA	NA	NA	72.976
Htb2	False	24	21	3	87.5	1.199	NA	NA	NA	NA	NA	72.976
Htl1	False	188	78	110	41.49	0.569	48.0	13.0	35.0	27.08	0.371	72.976
Htz1	False	5688	2761	2927	48.54	0.665	265.0	136.0	129.0	51.32	0.703	72.976
Ies3	False	275	156	119	56.73	0.777	NA	NA	NA	NA	NA	72.976
Ies6	False	86	79	7	91.86	1.259	23.0	21.0	2.0	91.3	1.251	72.976
Ifh1	False	489	273	216	55.83	0.765	55.0	11.0	44.0	20.0	0.274	72.976
Ino2	False	51	18	33	35.29	0.484	28.0	4.0	24.0	14.29	0.196	72.976
Ino4	False	42	10	32	23.81	0.326	22.0	3.0	19.0	13.64	0.187	72.976
Ino80	False	7	7	0	100.0	1.37	NA	NA	NA	NA	NA	72.976
Ioc3	False	5	4	1	80.0	1.096	NA	NA	NA	NA	NA	72.976
Irr1	False	48	37	11	77.08	1.056	11.0	8.0	3.0	72.73	0.997	72.976
Isw1	False	4	4	0	100.0	1.37	NA	NA	NA	NA	NA	72.976
Isw2	False	3	2	1	66.67	0.914	NA	NA	NA	NA	NA	72.976
Iws1	False	1791	1329	462	74.2	1.017	79.0	70.0	9.0	88.61	1.214	72.976
Kar4	False	122	29	93	23.77	0.326	84.0	25.0	59.0	29.76	0.408	72.976
Kin28	False	2819	299	2520	10.61	0.145	462.0	42.0	420.0	9.09	0.125	72.976
Lea1	False	526	434	92	82.51	1.131	89.0	80.0	9.0	89.89	1.232	72.976
Leo1	False	1622	1441	181	88.84	1.217	129.0	120.0	9.0	93.02	1.275	72.976
Leu3	True	52	14	38	26.92	0.369	24.0	4.0	20.0	16.67	0.228	72.976
Lys14	True	30	3	27	10.0	0.137	23.0	1.0	22.0	4.35	0.06	72.976
Lys20	False	386	280	106	72.54	0.994	37.0	31.0	6.0	83.78	1.148	72.976
Lys21	False	18	17	1	94.44	1.294	3.0	3.0	0.0	100.0	1.37	72.976
Mac1	False	82	42	40	51.22	0.702	26.0	9.0	17.0	34.62	0.474	72.976
Maf1	False	108	81	27	75.0	1.028	10.0	9.0	1.0	90.0	1.233	72.976
Matalpha2	True	18	5	13	27.78	0.381	15.0	4.0	11.0	26.67	0.365	72.976
Mbp1	True	142	26	116	18.31	0.251	68.0	5.0	63.0	7.35	0.101	72.976
