run	state	mass	calls	meth_med	meth_p90
revfix	Nhp6a_zhu	3276.7936563632325	3881	0.037037037037037035	0.13926125752230756
revfix	Abf1_murphy	954.9068671598784	1215	0.022727272727272728	0.09354980254497584
revfix	Reb1_badis	602.5835715948233	637	0.18518518518518517	0.6320085929108485
revfix	Nhp6b_zhu	263.7210256082147	215	0.23880597014925373	0.4567901234567901
revfix	Sig1_badis	224.46350561800296	217	0.25513698630136983	0.5432287954383463
revfix	Rox1_badis	294.72371066172406	278	0.24521432765707574	0.46128571428571435
revfix	Sum1_zhu	45.693515089964016	20	0.28174603174603174	0.4311059907834104
revfix	unknown	10418.809380981691	12030	0.21794871794871795	0.5
revfix	background	27276.638145783032	33492	0.07142857142857142	0.2222222222222222
revfix	nucleosome	183701.0024493471	187081	0.023809523809523808	0.12048192771084337
capA	Nhp6a_zhu	4636.136695297276	5591	0.04	0.14285714285714285
capA	Abf1_murphy	1314.6644575721857	1733	0.024390243902439025	0.10344827586206896
capA	Reb1_badis	2886.4388119929054	3128	0.2391304347826087	0.5872670807453416
capA	Nhp6b_zhu	84.07728739878047	6	0.24397732640529052	0.3453887884267631
capA	Sig1_badis	79.79422021550523	48	0.2	0.35702531645569635
capA	Rox1_badis	81.228821912703	15	0.13793103448275862	0.3052109181141439
capA	Sum1_zhu	45.99892544198275	0		
capA	unknown	7050.977633911637	9459	0.10126582278481013	0.30612244897959184
capA	background	23093.387519842032	33884	0.09302325581395349	0.3058823529411765
capA	nucleosome	184834.67337840569	188104	0.024096385542168676	0.1206896551724138
capB	Nhp6a_zhu	4750.1889666879	5638	0.043478260869565216	0.15492957746478872
capB	Abf1_murphy	1509.7473263975455	1774	0.02666666666666667	0.11568713130871748
capB	Reb1_badis	168.0510636309318	200	0.1842224231464738	0.5390384615384617
capB	Nhp6b_zhu	610.7751619673472	520	0.14573220064724918	0.28244147157190636
capB	Sig1_badis	693.8684240102464	769	0.1206896551724138	0.2974528019178905
capB	Rox1_badis	323.776165470925	338	0.10994157937147461	0.2793929110105582
capB	Sum1_zhu	158.24454125673597	159	0.13924050632911392	0.2726610644257703
capB	unknown	19940.258885371357	23550	0.09090909090909091	0.26666666666666666
capB	background	10135.399923814668	13324	0.2857142857142857	0.5625
capB	nucleosome	186460.1736469546	189333	0.024096385542168676	0.12195121951219512
em10	Nhp6a_zhu	1959.0720790920454	2267	0.04	0.14785353535353535
em10	Abf1_murphy	4555.713501817671	5699	0.02857142857142857	0.12302648171500635
em10	Reb1_badis	985.8032667307232	1059	0.18065268065268064	0.6240942028985508
em10	Nhp6b_zhu	131.1742093237929	103	0.2641509433962264	0.44278515803939533
em10	Sig1_badis	115.33226559754108	114	0.26666666666666666	0.4507042253521127
em10	Rox1_badis	204.89335496229256	225	0.25	0.4612874779541446
em10	Sum1_zhu	10.59042587308676	8	0.23809523809523808	0.4571159638554218
em10	unknown	7624.752411838253	8848	0.2222222222222222	0.5
em10	background	21548.4050458649	24967	0.07692307692307693	0.22413793103448276
em10	nucleosome	186753.31218651924	190583	0.023809523809523808	0.12121212121212122
